iter	Passed	Remaining
0	11	11725
1	22	11156
2	33	11227
3	43	10946
4	51	10173
5	63	10479
6	78	11197
7	88	10995
8	119	13198
9	129	12772
10	138	12408
11	151	12473
12	157	11994
13	169	11939
14	175	11510
15	182	11235
16	189	10956
17	196	10722
18	206	10662
19	214	10490
20	221	10336
21	233	10375
22	264	11256
23	283	11546
24	292	11398
25	298	11185
26	304	10983
27	313	10872
28	320	10737
29	328	10621
30	335	10477
31	341	10338
